,Name,Street name,Street number,Neighborhood name,District name,Zip code,Latitud,Longitud
2024,"C Joan Blanques, 5",C Joan Blanques,5,la Vila de Gràcia,Gràcia,8012,41.4041947505366,2.16147519876277
2025,"Rda Guinardó, 235",Rda Guinardó,235,el Guinardó,Horta-Guinardó,8041,41.4225730550491,2.17718186969485
2026,"C Floristes de la Rambla, 11",C Floristes de la Rambla,11,el Raval,Ciutat Vella,8001,41.3817144937392,2.1694882017656
2027,"Pl Àngels, 7",Pl Àngels,7,el Raval,Ciutat Vella,8001,41.3829473091107,2.16749326072327
2028,"C Maladeta, 85",C Maladeta,85,Porta,Nou Barris,8016,41.433560525076,2.17381397584739
2029,"Rier Sant Andreu, 104",Rier Sant Andreu,104,Sant Andreu,Sant Andreu,8030,41.4355676563146,2.18455765108692
2030,"C Sancho de Ávila, 134",C Sancho de Ávila,134,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.4018574165396,2.19431949030581
2031,"C Doctor Trueta, 234",C Doctor Trueta,234,el Poblenou,Sant Martí,8005,41.3993223457443,2.20457777403283
2032,"C Sardenya, 287",C Sardenya,287,la Sagrada Família,Eixample,8013,41.4024062013558,2.17455106391575
2034,"Av Diagonal, 502",Av Diagonal,502,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,8006,41.3955284892281,2.15435089908163
2035,"C Casanova, 193",C Casanova,193,l'Antiga Esquerra de l'Eixample,Eixample,8036,41.3927479454539,2.14893633533143
2036,"C Londres, 61",C Londres,61,l'Antiga Esquerra de l'Eixample,Eixample,8036,41.3920138214317,2.14870834846407
2037,"C Comte Borrell, 87",C Comte Borrell,87,Sant Antoni,Eixample,8015,41.3789387857238,2.16044911745173
2038,"C Santa Teresa, 6",C Santa Teresa,6,la Vila de Gràcia,Gràcia,8012,41.3978628091624,2.15977366862092
2039,"C Marquès de la Quadra, 8",C Marquès de la Quadra,8,la Barceloneta,Ciutat Vella,8003,41.3821261855208,2.18847026161476
2040,"C Mallorca, 152",C Mallorca,152,l'Antiga Esquerra de l'Eixample,Eixample,8036,41.3878385607644,2.15470581853737
2042,"C Enric Granados, 77",C Enric Granados,77,l'Antiga Esquerra de l'Eixample,Eixample,8008,41.3916424402907,2.15708328765685
2043,"Rbla Raval, 17",Rbla Raval,17,el Raval,Ciutat Vella,8001,41.3790096774361,2.1693507660653
2044,"C Muntaner, 18",C Muntaner,18,l'Antiga Esquerra de l'Eixample,Eixample,8011,41.3850194362973,2.1616346764782
2045,"Av Meridiana, 195",Av Meridiana,195,el Camp de l'Arpa del Clot,Sant Martí,8026,41.4148863044908,2.18674622924875
2046,"Av Roma, 129",Av Roma,129,l'Antiga Esquerra de l'Eixample,Eixample,8011,41.385875629097,2.15555362229305
2047,"C Àvila, 21",C Àvila,21,la Vila Olímpica del Poblenou,Sant Martí,8005,41.394452435958,2.19855562963675
2048,"C Aragó, 20",C Aragó,20,la Nova Esquerra de l'Eixample,Eixample,8015,41.3802720443137,2.1491754367485
2049,"C Àvila, 99",C Àvila,99,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.3985051526834,2.19345894870913
2050,"C Consell de Cent, 141",C Consell de Cent,141,la Nova Esquerra de l'Eixample,Eixample,8015,41.3820250175705,2.15352710563481
2051,"C Bolívia, 121",C Bolívia,121,Provençals del Poblenou,Sant Martí,8018,41.4069638357318,2.19634221332369
2052,"C Consell de Cent, 104",C Consell de Cent,104,la Nova Esquerra de l'Eixample,Eixample,8015,41.3806077931198,2.15185553447038
2053,"C Bolívia, 234",C Bolívia,234,Provençals del Poblenou,Sant Martí,8020,41.4106377664282,2.20146009320266
2054,"C Consell de Cent, 80",C Consell de Cent,80,la Nova Esquerra de l'Eixample,Eixample,8015,41.3795169791914,2.15041894146646
2055,"C Buenaventura Muñoz, 39",C Buenaventura Muñoz,39,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.3928482847868,2.18634029043103
2056,"Pg Sant Joan, 5",Pg Sant Joan,5,la Dreta de l'Eixample,Eixample,8010,41.3920136610586,2.17886266865381
2057,"C Pintor Fortuny, 24",C Pintor Fortuny,24,el Raval,Ciutat Vella,8001,41.3826786815448,2.16929554730906
2058,"C Hospital, 12",C Hospital,12,el Raval,Ciutat Vella,8001,41.3810876050238,2.17258410746001
2060,"C Aragó, 110",C Aragó,110,la Nova Esquerra de l'Eixample,Eixample,8015,41.384223543303,2.15439601008358
2061,"C Alí Bei, 55",C Alí Bei,55,el Fort Pienc,Eixample,8013,41.3934024491201,2.18047690958865
2063,"C Muntaner, 88",C Muntaner,88,l'Antiga Esquerra de l'Eixample,Eixample,8011,41.3879910127983,2.15775835772496
2064,"C Mallorca, 530",C Mallorca,530,el Camp de l'Arpa del Clot,Sant Martí,8026,41.4082432956986,2.1818682490487
2065,"Av Rius i Taulet, 12",Av Rius i Taulet,12,el Poble-sec,Sants-Montjuïc,8004,41.3719039552658,2.15163814392842
2066,"C Pamplona, 83",C Pamplona,83,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.3963655185731,2.19156784563771
2067,"Av Meridiana, 326",Av Meridiana,326,la Sagrera,Sant Andreu,8027,41.4254188411526,2.18674419043502
2068,"C Llull, 93",C Llull,93,el Parc i la Llacuna del Poblenou,Sant Martí,8005,41.3961886364349,2.19552416135786
2069,"Av Diagonal, 401",Av Diagonal,401,la Dreta de l'Eixample,Eixample,8008,41.3956619898078,2.15664108598273
2072,"Ptge Domingo, 7",Ptge Domingo,7,la Dreta de l'Eixample,Eixample,8008,41.3929669988834,2.16227318000653
2073,"Av Roma, 149",Av Roma,149,l'Antiga Esquerra de l'Eixample,Eixample,8011,41.3864999389235,2.15699648961551
2075,"C Roger de Flor, 25",C Roger de Flor,25,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8018,41.3916672413749,2.18150431845616
2076,"Pl Sant Agustí Vell, 9999",Pl Sant Agustí Vell,1,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.388125411934,2.18060156344358
2077,"C Sardenya, 234",C Sardenya,234,el Fort Pienc,Eixample,8013,41.3991818923464,2.17903269933529
2078,"Trav Corts, 359",Trav Corts,359,les Corts,Les Corts,8029,41.389799216508,2.13990100850288
2079,"C Sardenya, 160",C Sardenya,160,el Fort Pienc,Eixample,8013,41.3957800289884,2.1834885155774
2080,"C Vallhonrat, 1",C Vallhonrat,1,el Poble-sec,Sants-Montjuïc,8004,41.3748856627795,2.15776305726281
2082,"C Mallorca, 154",C Mallorca,154,l'Antiga Esquerra de l'Eixample,Eixample,8036,41.3879821971019,2.15466345966217
2084,"C Doctor Aiguader, 80",C Doctor Aiguader,80,la Barceloneta,Ciutat Vella,8003,41.3845982990026,2.19248985558819
2085,"C Tortosa, 34",C Tortosa,34,la Marina del Prat Vermell,Sants-Montjuïc,8038,41.3521450000533,2.14172797645132
2086,"C Josep Estivill, 4",C Josep Estivill,4,Navas,Sant Andreu,8027,41.4164986952959,2.18604655578035
2087,"C Ciutat de Granada, 109",C Ciutat de Granada,109,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.401358851947,2.19403718506944
2088,"C Agricultura, 211",C Agricultura,211,Sant Martí de Provençals,Sant Martí,8020,41.4165380942631,2.20325298944799
2089,"G.V. Corts Catalanes, 982",G.V. Corts Catalanes,982,Provençals del Poblenou,Sant Martí,8018,41.4106296498484,2.19754257002459
2090,"C Almogàvers, 50",C Almogàvers,50,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.3933401933364,2.18511396194597
